,word,times,percent
3807,liqueur,732,0.07235289233652398
2635,dark,731,0.07225404958743037
1769,root,721,0.07126562209649424
1103,leaf,720,0.07116677934740064
43,tortillas,717,0.0708702511001198
4732,plain,715,0.07067256560193258
3499,canned,714,0.07057372285283896
5307,mashed,711,0.07027719460555812
3693,whites,707,0.06988182360918367
65,dijon,707,0.06988182360918367
5204,canola,695,0.06869571062006033
2730,can,688,0.06800381137640504
5003,quart,675,0.0667188556381881
1733,potato,673,0.06652117014000088
53,salsa,664,0.06563158539815836
3912,food,646,0.06385241591447334
2371,bananas,645,0.06375357316537973
4131,evaporated,643,0.06355588766719251
5032,jack,638,0.06306167392172445
1440,spaghetti,636,0.06286398842353723
5052,cherry,635,0.06276514567444362
1479,ripe,631,0.062369774678069166
2336,roast,629,0.06217208917988194
2922,pudding,629,0.06217208917988194
1738,bottle,623,0.06157903268532027
2916,half-and-half,622,0.061480189936226656
2783,steak,620,0.06128250443803943
642,squash,618,0.06108481893985221
749,feta,613,0.06059060519438415
3825,yolks,602,0.05950333495435442
4314,smoked,599,0.05920680670707358
4677,chunks,597,0.05900912120888636
1207,florets,596,0.05891027845979275
4379,cranberries,595,0.058811435710699134
2722,banana,575,0.0568345807288269
1443,graham,568,0.05614268148517161
792,boiling,559,0.0552530967433291
2775,extra,555,0.054857725746954654
5221,puree,555,0.054857725746954654
1007,cucumber,555,0.054857725746954654
5169,breasts,552,0.05456119749967382
1636,thick,552,0.05456119749967382
1097,sifted,551,0.05446235475058021
2831,maple,547,0.05406698375420576
1883,allspice,546,0.053968141005112144
684,seeded,543,0.05367161275783131
129,liquid,542,0.0535727700087377
474,pastry,536,0.052979713514176026
887,rum,536,0.052979713514176026
3709,sage,527,0.052090128772333516
1331,blueberries,527,0.052090128772333516
1034,mint,525,0.05189244327414629
3990,crackers,522,0.05159591502686546
333,pint,521,0.051497072277771845
3920,sprigs,512,0.05060748753592934
1673,cored,511,0.05050864478683573
4083,blend,510,0.05040980203774212
2764,kidney,509,0.0503109592886485
1048,sharp,508,0.05021211653955489
2557,mixed,507,0.05011327379046128
1308,quarts,504,0.04981674554318044
